participantID,gender,maritalStatus,age,housing,townType,governorate,employment ,workLocation,education,beforeIncome,afterIncome,haveGarden,timeInGardenYN,whyNoTimeInGarden,aloneInGarden,familyInGarden,kidsInGarden,neighborsInGarden,friendsInGarden,afterGardenRelaxing,afterGardenExercising,afterGardenGardening,afterGardenOrchard,afterGardenOrnamentals,afterGardenLandscaping,afterGardenLivestock,afterGardenBirdPhotography,afterGardenHarvesting,visitGreenspace,whyNoVisitGreenspace,aloneGreenspace,familyGreenspace,kidsGreenspace,neighborsGreenspace,friendsGreenspace,walkingGreenspace,bicyclingGreenspace,carGreenspace,busGreenspace,taxiGreenspace,distanceGreenspace_under0.5,distanceGreenspace_0.5to1,distanceGreenspace_1to2,distanceGreenspace_over2,afterGreenspaceExercise,afterGreenspaceRelaxing,afterGreenspaceBirdPhotography,afterGreenspaceHarvesting,visitNatural,whyNoVisitNatural,aloneNatural,familyNatural,kidsNatural,neighborsNatural,friendsNatural,walkingNatural,bicyclingNatural,carNatural,busNatural,taxiNatural,distanceNatural_under0.5,distanceNatural_0.5to1,distanceNatural_1to2,distanceNatural_2to4,distanceNatural_over4,afterNaturalExercise,afterNaturalRelaxing,afterNaturalBirdPhotography,afterNaturalScenery,afterNaturalHarvesting,afterNaturalGathering,afterNaturalHistoric,afterNaturalCamping,afterNaturalLandscaping,afterNaturalCultivation,afterNaturalOrchard,afterNaturalLivestock
101,Female,Married,36 - 45,Apartment,Village,Qalqelyah,Unemployed,,Highschool or Less,I have no income,I have no income,No,,,,,,,,,,,,,,,,,No,Because of lack of time,,,,,,,,,,,,,,,,,,,Yes,,,Before the pandemic,Before the pandemic,,,"Before the pandemic, After the pandemic occurred",,Before the pandemic,,,,,,,,Much less,Much less,Much less,Much less,I don't do this activity,About the same,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,Much less,I don't do this activity
102,Female,Single,18 - 25,House,Village,Jenin,Student,,Bachelor,I have no income,I have no income,Yes,No,Not one of my interests,,,,,,,,,,,,,,,Yes,,After the pandemic occurred,,Before the pandemic,Before the pandemic,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",Much more often,Much more often,Much more often,Much more often,Yes,,After the pandemic occurred,,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",Much more often,Much more often,Much more often,Much more often,Much more often,Much more often,Much more often,Much more often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
103,Female,Married, 26 - 35,House,Town,Nablus,Freelancer,Inside the West Bank,Bachelor,"Less than 2,000 NIS",Severely decreased,Yes,Yes,,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Much less,I don't do this activity,More often,More often,More often,About the same,I don't do this activity,More often,I don't do this activity,Yes,,Before the pandemic,Before the pandemic,"Before the pandemic, After the pandemic occurred",Before the pandemic,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,About the same,About the same,I don't do this activity,I don't do this activity,Yes,,After the pandemic occurred,"Before the pandemic, After the pandemic occurred",Before the pandemic,Before the pandemic,Before the pandemic,,,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",,,,More often,More often,About the same,More often,About the same,About the same,About the same,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
104,Female,Married,18 - 25,House,Village,Nablus,Unemployed,Inside the West Bank,Highschool or Less,I have no income,I have no income,No,,,,,,,,,,,,,,,,,No,Because of lack of time,,,,,,,,,,,,,,,,,,,No,Mainly because there is no open natural areas around and near my town,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Female,Single,18 - 25,House,City,Tubas,Student,Inside the West Bank,Bachelor,I have no income,I have no income,Yes,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",About the same,About the same,More often,More often,More often,I don't do this activity,I don't do this activity,More often,I don't do this activity,No,Because of lack of time,,,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,,,,About the same,More often,I don't do this activity,I don't do this activity,I don't do this activity,About the same,About the same,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
106,Female,Single,18 - 25,House,City,Jenin,Student,Inside the West Bank,Bachelor,I have no income,I have no income,Yes,Yes,,Before the pandemic,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,More often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,No,Mainly because there is no urban park/green/open spaces in my town,,,,,,,,,,,,,,,,,,,Yes,,,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,,,,,,,,,,,More often,More often,More often,More often,I don't do this activity,More often,More often,I don't do this activity,I don't do this activity,I don't do this activity,More often,I don't do this activity
107,Female,Married,18 - 25,House,Village,Jenin,Unemployed,Inside the Greenline,Diploma,"2,001 - 4,000 NIS",Decreased,No,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",,,Less often,Less often,I don't do this activity,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,,,,,,,,,,,,,,,,,,,,,,,
108,Female,Single,18 - 25,House,Town,Jenin,Student,Inside the West Bank,Bachelor,I have no income,I have no income,Yes,Yes,,,"Before the pandemic, After the pandemic occurred",After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,Much more often,More often,More often,More often,More often,More often,More often,More often,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,"Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,After the pandemic occurred,,More often,More often,More often,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,,After the pandemic occurred,,,"Before the pandemic, After the pandemic occurred",,After the pandemic occurred,,,More often,Much more often,Much more often,Less often,I don't do this activity,More often,More often,More often,More often,More often,More often,I don't do this activity
109,Female,Single,18 - 25,House,City,Qalqelyah,Student,Inside the West Bank,Bachelor,I have no income,I have no income,Yes,Yes,,,"Before the pandemic, After the pandemic occurred",,,,Much more often,Much more often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,About the same,I don't do this activity,No,Mainly because there is no urban park/green/open spaces in my town,,,,,,,,,,,,,,,,,,,No,Because of lack of time,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Female,Married,18 - 25,House,Village,Jenin,Unemployed,,Bachelor,I have no income,I have no income,Yes,Yes,,"Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,More often,Much more often,More often,About the same,About the same,More often,About the same,About the same,I don't do this activity,No,Because of lack of time,,,,,,,,,,,,,,,,,,,No,Mainly because there is no open natural areas around and near my town,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Female,Married,18 - 25,House,Village,Jenin,Unemployed,,Bachelor,I have no income,I have no income,Yes,Yes,,"Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,More often,Less often,About the same,About the same,About the same,More often,About the same,More often,I don't do this activity,No,Because of lack of time,,,,,,,,,,,,,,,,,,,No,Because of lack of time,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Female,Single,18 - 25,House,City,Jenin,Private Sector Employee,Inside the West Bank,Master,"2,001 - 4,000 NIS",The same,Yes,Yes,,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,About the same,Much more often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,Yes,,Before the pandemic,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,Before the pandemic,Before the pandemic,After the pandemic occurred,Before the pandemic,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,Much more often,Much more often,I don't do this activity,I don't do this activity,Yes,,Before the pandemic,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,Before the pandemic,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,Before the pandemic,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,After the pandemic occurred,Much more often,Much more often,I don't do this activity,More often,I don't do this activity,More often,Much more often,I don't do this activity,I don't do this activity,Much more often,I don't do this activity,I don't do this activity
113,Female,Married, 26 - 35,Apartment,City,Tubas,Teacher,Inside the West Bank,Bachelor,"2,001 - 4,000 NIS",Decreased,No,,,,,,,,,,,,,,,,,No,Lockdown and COVID-19 pandemic,,,,,,,,,,,,,,,,,,,No,Lockdown and COVID-19 pandemic ??No?No?,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Female,Single,18 - 25,House,City,Jenin,Medical Sector Employee,Inside the West Bank,Bachelor,I have no income,Increased,Yes,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",Much more often,Much more often,More often,More often,About the same,More often,I don't do this activity,About the same,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,More often,More often,I don't do this activity,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,,More often,More often,I don't do this activity,More often,I don't do this activity,More often,More often,I don't do this activity,I don't do this activity,More often,More often,I don't do this activity
115,Female,Single,18 - 25,Apartment,City,Tulkarem,Student,,Bachelor,I have no income,I have no income,Yes,No,Not one of my interests,,,,,,,,,,,,,,,No,Because of the noise,,,,,,,,,,,,,,,,,,,No,Not one of my interests,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Female,Single, 26 - 35,House,City,Tubas,Unemployed,,Bachelor,I have no income,I have no income,No,,,,,,,,,,,,,,,,,No,Not one of my interests,,,,,,,,,,,,,,,,,,,No,Because of the noise,,,,,,,,,,,,,,,,,,,,,,,,,,,
